name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit
cid_1205,43158739083084985,9813,505,160894,57,N1010,2561,58488.43788323,900.0,1.0091089,29.696678,
cid_1205,43158739083084985,9813,505,160896,58,N1010,2561,58488.44865649,900.0,0.8921408,29.73328,
cid_1205,43158739083084985,9813,505,160898,49,N1010,2561,58488.4594325,900.0,0.834663,29.717022,
cid_1205,43158739083084985,9813,505,160900,57,N1010,2561,58488.4702117,900.0,0.78251106,29.732538,
cid_1205,43158739083084985,9813,505,160902,57,N1010,2561,58488.48098692,900.0,0.85032433,29.72297,
cid_1205,43158739083084985,9813,505,160904,65,N1010,2561,58488.49176981,900.0,0.82509005,29.740322,
cid_1205,43158739083084985,9813,505,160906,58,N1010,2561,58488.50254688,900.0,0.7602129,29.738508,
cid_1205,43158739083084985,9813,505,160908,57,N1010,2561,58488.51332074,900.0,0.7173792,29.734987,
cid_1205,43158739083084985,9813,505,160910,65,N1010,2561,58488.52409184,900.0,0.77736104,29.741156,
cid_1205,43158739083084985,9813,505,160912,57,N1010,2561,58488.53486482,900.0,0.8491002,29.722057,
cid_1205,43158739083084985,9813,505,160914,65,N1010,2561,58488.5456366,900.0,1.1977085,29.696007,
cid_1205,43158739083084985,9813,505,160920,65,N1010,2561,58488.57795891,900.0,1.1753049,29.686096,
cid_1205,43158739083084985,9813,505,160932,65,N1010,2561,58488.64260989,900.0,1.0843004,29.71121,
cid_1205,43158739083084985,9813,505,160934,65,N1010,2561,58488.65338457,900.0,1.0926442,29.696177,
cid_1205,43158739083084985,9813,505,137300,4,N387,2205,58132.43218599,840.0,1.0416491,30.174746,
cid_1205,43158739083084985,9813,505,137302,4,N387,2205,58132.44227022,840.0,0.9237984,30.10611,
cid_1205,43158739083084985,9813,505,55994,57,N816,1497,57424.5718847984,900.0,0.3877517,31.343195,
cid_1205,43158739083084985,9813,505,55996,65,N816,1497,57424.5826792601,900.0,0.40522537,31.36353,
cid_1205,43158739083084985,9813,505,55998,58,N816,1497,57424.5934812762,900.0,0.4377626,31.33274,
cid_1205,43158739083084985,9813,505,56674,57,N816,1499,57426.5536096971,900.0,1.1547617,31.266651,
cid_1205,43158739083084985,9813,505,56676,57,N816,1499,57426.5644153189,900.0,1.0782048,31.277016,
cid_1205,43158739083084985,9813,505,56678,65,N816,1499,57426.575219716,900.0,1.1925523,31.267088,
cid_1205,43158739083084985,9813,505,56836,58,N816,1500,57427.3818539018,900.0,0.9900251,31.283583,
cid_1205,43158739083084985,9813,505,56838,57,N816,1500,57427.3926508892,900.0,0.9575838,31.288168,
cid_1205,43158739083084985,9813,505,56840,65,N816,1500,57427.403446354,900.0,0.9084721,31.302288,
cid_1205,43158739083084985,9813,505,56842,57,N816,1500,57427.4142690944,900.0,0.7757014,31.304428,
cid_1205,43158739083084985,9813,505,56844,66,N816,1500,57427.4250745657,900.0,0.7714185,31.324373,
cid_1205,43158739083084985,9813,505,56846,58,N816,1500,57427.4358638902,900.0,1.0034976,31.283428,
cid_1205,43158739083084985,9813,505,56848,57,N816,1500,57427.4466562667,900.0,0.8978171,31.290895,
cid_1205,43158739083084985,9813,505,56850,57,N816,1500,57427.4574551093,900.0,0.80292183,31.307425,
cid_1205,43158739083084985,9813,505,56852,57,N816,1500,57427.468293203,900.0,0.6709266,31.318956,
cid_1205,43158739083084985,9813,505,56854,65,N816,1500,57427.4791020784,900.0,0.6080305,31.32348,
cid_1205,43158739083084985,9813,505,56856,57,N816,1500,57427.4899101132,900.0,0.6646364,31.315666,
cid_1205,43158739083084985,9813,505,56858,57,N816,1500,57427.5007227329,900.0,0.6870098,31.30814,
cid_1205,43158739083084985,9813,505,56860,65,N816,1500,57427.5115410611,900.0,0.6834369,31.324968,
cid_1205,43158739083084985,9813,505,56862,57,N816,1500,57427.522341622,900.0,0.8481996,31.3074,
